"","State","Hate.Crimes.per.100.000.People","Median.Income","Inequality..Gini.Index."
"1","Alabama",1.806410489,42278,0.472
"2","Alaska",1.656700109,67629,0.422
"3","Arizona",3.413927994,49254,0.455
"4","Arkansas",0.869208872,44922,0.458
"5","California",2.397985899,60487,0.471
"6","Colorado",2.804688765,60940,0.457
"7","Connecticut",3.772701469,70161,0.486
"8","Delaware",1.469979563,57522,0.44
"9","District of Columbia",10.95347971,68277,0.532
"10","Florida",0.698070342,46140,0.474
"11","Georgia",0.412011824,49555,0.468
"13","Idaho",1.891330529,53438,0.433
"14","Illinois",1.044015798,54916,0.465
"15","Indiana",1.757356567,48060,0.44
"16","Iowa",0.561395565,57810,0.427
"17","Kansas",2.143986672,53444,0.445
"18","Kentucky",4.207889621,42786,0.466
"19","Louisiana",1.341169554,42406,0.475
"20","Maine",2.626610924,51710,0.437
"21","Maryland",1.324839538,76165,0.443
"22","Massachusetts",4.801899339,63151,0.475
"23","Michigan",3.200442266,52005,0.451
"24","Minnesota",3.612411816,67244,0.44
"25","Mississippi",0.622745989,35521,0.468
"26","Missouri",1.908954989,56630,0.455
"27","Montana",2.954959378,51102,0.435
"28","Nebraska",2.68624842,56870,0.432
"29","Nevada",2.113990154,49875,0.448
"30","New Hampshire",2.105988585,73397,0.425
"31","New Jersey",4.413202591,65243,0.464
"32","New Mexico",1.886435184,46686,0.464
"33","New York",3.102164284,54310,0.499
"34","North Carolina",1.262679796,46784,0.464
"35","North Dakota",4.741069885,60730,0.433
"36","Ohio",3.240420404,49644,0.452
"37","Oklahoma",1.08167215,47199,0.454
"38","Oregon",3.394886113,58875,0.449
"39","Pennsylvania",0.43092759,55173,0.461
"40","Rhode Island",1.282571834,58633,0.467
"41","South Carolina",1.937082833,44929,0.461
"42","South Dakota",3.301737127,53053,0.442
"43","Tennessee",3.13605115,43716,0.468
"44","Texas",0.752768305,53875,0.469
"45","Utah",2.384065044,63383,0.419
"46","Vermont",1.90308139,60708,0.444
"47","Virginia",1.724754584,66155,0.459
"48","Washington",3.817740296,59068,0.441
"49","West Virginia",2.037053631,39552,0.451
"50","Wisconsin",1.121944651,58080,0.43
"51","Wyoming",0.26694076,55690,0.423
